model,fold,epoch,train_loss,val_loss,val_auc
lfp_transformer,1,81,0.000627,0.002006,0.9996
lfp_transformer,1,82,0.000487,0.002761,0.9994
lfp_transformer,1,83,0.000589,0.003555,0.9996
lfp_transformer,1,84,0.000800,0.002492,0.9995
lfp_transformer,1,85,0.000855,0.002156,0.9995
lfp_transformer,1,86,0.000494,0.004230,0.9995
lfp_transformer,1,87,0.001107,0.002615,0.9994
lfp_transformer,1,88,0.000727,0.003004,0.9995
lfp_transformer,1,89,0.000610,0.002422,0.9996
lfp_transformer,1,90,0.000624,0.003924,0.9995
lfp_transformer,1,91,0.000642,0.006837,0.9995
lfp_transformer,1,92,0.000652,0.002597,0.9995
lfp_transformer,1,93,0.001577,0.002527,0.9994
lfp_transformer,2,0,0.009971,0.003230,0.9981
lfp_transformer,2,1,0.003239,0.002783,0.9984
lfp_transformer,2,2,0.002569,0.002508,0.9986
lfp_transformer,2,3,0.002390,0.002354,0.9987
lfp_transformer,2,4,0.002091,0.002573,0.9987
lfp_transformer,2,5,0.002569,0.002337,0.9986
lfp_transformer,2,6,0.002177,0.002382,0.9984
lfp_transformer,2,7,0.001960,0.002337,0.9988
lfp_transformer,2,8,0.001938,0.002579,0.9983
lfp_transformer,2,9,0.001965,0.002321,0.9985
lfp_transformer,2,10,0.002299,0.002273,0.9986
lfp_transformer,2,11,0.001793,0.005802,0.9982
lfp_transformer,2,12,0.001868,0.002246,0.9988
lfp_transformer,2,13,0.001916,0.002266,0.9984
lfp_transformer,2,14,0.002147,0.002774,0.9987
lfp_transformer,2,15,0.001829,0.002345,0.9985
lfp_transformer,2,16,0.002364,0.002268,0.9988
lfp_transformer,2,17,0.001805,0.002273,0.9985
lfp_transformer,2,18,0.001685,0.002640,0.9985
lfp_transformer,2,19,0.001753,0.002351,0.9985
lfp_transformer,2,20,0.001774,0.002243,0.9986
lfp_transformer,2,21,0.001770,0.002804,0.9985
lfp_transformer,2,22,0.001762,0.002671,0.9985
lfp_transformer,3,0,0.011028,0.002957,0.9984
lfp_transformer,3,1,0.003775,0.002937,0.9982
lfp_transformer,3,2,0.002840,0.002903,0.9983
lfp_transformer,3,3,0.002180,0.002155,0.9991
lfp_transformer,3,4,0.002788,0.002280,0.9986
lfp_transformer,3,5,0.002445,0.002595,0.9985
lfp_transformer,3,6,0.002014,0.002290,0.9988
lfp_transformer,3,7,0.002011,0.002227,0.9987
lfp_transformer,3,8,0.001848,0.002367,0.9989
lfp_transformer,3,9,0.002195,0.002274,0.9987
lfp_transformer,3,10,0.001991,0.002153,0.9987
lfp_transformer,3,11,0.001881,0.002118,0.9989
lfp_transformer,3,12,0.001827,0.002314,0.9987
lfp_transformer,3,13,0.002018,0.002147,0.9989
lfp_transformer,3,14,0.002102,0.002392,0.9989
lfp_transformer,3,15,0.001932,0.002107,0.9990
lfp_transformer,3,16,0.001747,0.002320,0.9989
lfp_transformer,3,17,0.001766,0.002083,0.9990
lfp_transformer,3,18,0.001808,0.002146,0.9990
lfp_transformer,4,0,0.008714,0.004524,0.9986
lfp_transformer,4,1,0.003935,0.002450,0.9986
lfp_transformer,4,2,0.002619,0.002213,0.9987
lfp_transformer,4,3,0.002837,0.002230,0.9989
lfp_transformer,4,4,0.002171,0.002134,0.9990
lfp_transformer,4,5,0.002162,0.001987,0.9990
lfp_transformer,4,6,0.002012,0.002008,0.9991
lfp_transformer,4,7,0.002704,0.002140,0.9990
lfp_transformer,4,8,0.002003,0.001929,0.9991
lfp_transformer,4,9,0.002960,0.002253,0.9989
lfp_transformer,4,10,0.001975,0.001967,0.9991
lfp_transformer,4,11,0.001908,0.002016,0.9989
lfp_transformer,4,12,0.002019,0.002068,0.9991
lfp_transformer,4,13,0.002407,0.002028,0.9990
lfp_transformer,4,14,0.001873,0.002341,0.9990
lfp_transformer,4,15,0.001825,0.002104,0.9989
lfp_transformer,4,16,0.001783,0.002033,0.9991
lfp_transformer,4,17,0.001877,0.002024,0.9991
lfp_transformer,4,18,0.001723,0.001880,0.9992
lfp_transformer,4,19,0.001721,0.002132,0.9989
lfp_transformer,4,20,0.001790,0.002042,0.9991
